id,name,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,genre,popularity,total_artist_followers,avg_artist_popularity,artist_ids,niche_genres
6UL2OcNTZoXmDXUzZwgOhV,party up!!,The Sun Also Rises,"[""ROOKiEZ is PUNK'D""]",0.59,0.978,5,-1.891,0,0.0934,0.000856,0.0,0.795,0.662,129.967,253453,2018,Pop,9,85579,41.0,"[""2mg9AmMi3b9jTbaOR5If4C""]","[""anime"", ""j-pop"", ""j-rock""]"
5vfdDoAUoVZDGFgSQKFLBq,pump it up,dream you up,"[""DE DE MOUSE"", ""Anamanaguchi""]",0.558,0.887,6,-7.179,0,0.0312,8.710000000000002e-05,0.926,0.0535,0.634,140.005,356751,2017,Electronic,15,289068,46.0,"[""1mZtAFuxFAgqmTCqfKLWoj"", ""2UwJRAgSOi1zcLkvUNc8XL""]","[""city pop"", ""j-dance"", ""shibuya-kei"", ""vocaloid""]"
4Ucs4R02ms07xwX7bD1U2b,rainy morning,hammer ska,"[""10-FEET""]",0.52,0.991,9,-1.527,0,0.0725,0.0006709999999999,0.0,0.264,0.772,114.966,135600,2010,Rock,12,423083,55.0,"[""0QZqdhoRQkn1VphAa5eX8h""]","[""j-pop"", ""j-rock"", ""melodic hardcore""]"
4kRTgvsaaNNBFMcac3OewD,resonance (ソウルイーター),JAPAN ANIMESONG COLLECTION VOL.28 [アニソン・ジャパン],"[""Yuuki Okamoto""]",0.401,0.961,8,-3.821,0,0.179,0.00794,0.0,0.158,0.439,164.951,224000,2009,Pop,38,3784,32.0,"[""3soVOBZVp9EEKvwJmVGCYb""]","[""anime""]"
4fnl5fZoftWTAT3VMuwukd,rose,strip me?,"[""Anna Tsuchiya""]",0.242,0.913,9,-4.02,0,0.0666,0.000103,0.0,0.319,0.359,171.725,225967,2006,Rock,48,104113,46.0,"[""1XTqQwcJw9D1bo0cuO8Oq2""]","[""anime"", ""j-rock""]"
6NrhF7Ku0qnulbF1sXtnhZ,s t i l l b e l i e v e,s p a c e [ s ],"[""Survive Said The Prophet""]",0.611,0.543,4,-6.579,1,0.0286,0.012,0.000379,0.0981,0.482,108.011,300973,2018,Pop,0,262942,52.0,"[""7zyObVag8rUjItn71SkIrh""]","[""anime"", ""j-rock""]"
5vmfnMSows7A2lZx5jtBv8,sabiironoumi,The beginning of the END,"[""DazzlingBAD"", ""Yousuke Tsuchiya""]",0.466,0.946,10,-2.652,0,0.0649,0.292,7.63e-06,0.138,0.461,117.937,263771,2021,Rock,25,32063,25.5,"[""2dTgxXj3wbPFIUG9pa1NWc"", ""3jnlqh10osklvTZTQMgIqo""]","[""j-rock"", ""visual kei""]"
15rOqnOGgsYF0s1cJ9bOOW,save you. (feat. Kaito Nagai),616,"[""CVLTE"", ""Kaito Nagai""]",0.528,0.842,11,-4.072,1,0.0989,0.00848,1.3900000000000002e-05,0.201,0.383,110.098,298105,2020,Rock,23,44304,26.0,"[""3IVZ4DbJgnhOtXQruNdomA"", ""4Fv6zold4yFjRZplinYoB5""]","[""j-rock""]"
0JUdNScTFs37m9dFGC07qp,sh0ut,2V-Alk,"[""SawanoHiroyuki[nZk]"", ""Tielle"", ""Gemie""]",0.685,0.94,6,-4.198,0,0.0567,0.0449,0.0,0.359,0.591,105.988,245427,2017,Pop,0,409871,48.333333333333336,"[""2EWXgN0xWOnbqJOxa9pWNO"", ""0o6gAoBM3HpKhCOYQSolLe"", ""7xD8IJZvqsewBhbMyiEIdz""]","[""anime"", ""j-pop"", ""j-rock""]"
4Mc0bv7nZAEiU36WNoaYYr,so goo,la blanka,"[""Sweet William"", ""Jinmenusagi""]",0.808,0.705,5,-6.613,0,0.0352,0.6930000000000001,7.170000000000001e-05,0.155,0.521,119.951,284142,2018,Hip-Hop,16,104458,46.5,"[""43eSnxk6MsmXsLOlbYo8VQ"", ""5QSm6dJVv4soCzV7rv4QqE""]","[""j-r&b"", ""j-rap"", ""japanese indie""]"
